"token","symbol","company_name","series","isin","lot_size","exchange","last_update","short_name","raw"
"10217","nan","ADANI ENERGY SOLUTIONS LIMITED","EQ","INE931S01010","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"15083","nan","ADANI PORT AND SPECIAL ECONO","EQ","INE742F01042","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"17388","nan","ADANI POWER LIMITED","EQ","INE814H01011","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25","nan","ADANI ENTERPRISES LIMITED","EQ","INE423A01024","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25277","nan","9.25% ADANI ENTERPR LTD SEP 26","N1","INE423A07351","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25280","nan","0% ADANI ENTERPRISES LTD SEP26","N2","INE423A07369","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25283","nan","9.32% ADANI ENTERPR LTD SEP 27","N3","INE423A07310","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25287","nan","9.65% ADANI ENTERPR LTD SEP 27","N4","INE423A07328","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25292","nan","0% ADANI ENTERPRISES LTD SEP27","N5","INE423A07377","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25294","nan","9.56% ADANI ENTERPR LTD SEP 29","N6","INE423A07336","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25296","nan","9.9% ADANI ENTERPR LTD SEP 29","N7","INE423A07344","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"25298","nan","0% ADANI ENTERPRISES LTD SEP29","N8","INE423A07385","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"3563","nan","ADANI GREEN ENERGY LTD","EQ","INE364U01010","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
"6066","nan","ADANI TOTAL GAS LIMITED","EQ","INE399L01023","1","NSE","2025-09-01 06:31:05.879435+05:30",NULL,NULL
