"token","symbol","short_name","company_name","series","isin","lot_size","exchange","last_update","raw","exchange_code","scrip_id","scrip_name"
"00","APLAB","APLAB","APLAB LTD",NULL,"INE273A01015",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"APLAB","",""
"000000","","INHNC8","9.9% INDIABULLS HOUSING Mar27",NULL,"",NULL,"BSE","2025-09-01 12:15:28.78001+05:30",NULL,"000000","000000","9.9% INDIABULLS HOUSING Mar27"
"00001","","SYRSGS","SYRMA",NULL,"00",NULL,"BSE","2025-09-01 12:15:28.78001+05:30",NULL,"SYRSGS","SYRSGS","SYRMA"
"000011","UNITBA","UNITBA","UNITED BANK OF INDIA",NULL,"INE695A01019",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"UNITEDBNK","",""
"00002","","RAJINV","RAJMATA INVESTMENTS",NULL,"",NULL,"BSE","2025-09-01 12:15:28.78001+05:30",NULL,"","","RAJMATA INVESTMENTS"
"00003","","MUT339","MUTHOOTTU MINI FIN 02NV17",NULL,"",NULL,"BSE","2025-09-01 12:15:28.78001+05:30",NULL,"0MMFL17","0MMFL17","MUTHOOTTU MINI FIN 02NV17"
"00015","INDFOI","INDFOI","INDIA FOILS LTD",NULL,"INE260A01020",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"IFL","",""
"00111","NEOSAC","NEOSAC","NEO CORP INTERNATIONAL LTD",NULL,"INE851C01014",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"NEOCORP","",""
"020","SYRSGS","SYRSGS","SYRMA",NULL,"00",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"SYRSGS","",""
"030","SURELE","SURELE","TORRENT POWER SEC LIMITED",NULL,"INE054B01017",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"TORRENTSEC","",""
"0531522","","MAHSOY","ABCD",NULL,"INE0000000000",NULL,"BSE","2025-09-01 12:15:28.78001+05:30",NULL,"","","ABCD"
"1","GOLPOW","GOLPOW","GOLDSTAR POWER LIMITED",NULL,"INE405Y01021",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"GOLDSTAR","",""
"10","ABAOFF","ABAOFF","ABAN OFFSHORE LTD",NULL,"INE421A01028",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"ABAN","",""
"100","AMARAJ","AMARAJ","AMARA RAJA ENERGY & MOBILITY",NULL,"INE885A01032",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"ARE&M","",""
"10009","SHRVIN","SHRVIN","SHREE VINDHYA PAPER MILLS",NULL,"INE210D01011",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"SHRVINDPPR","",""
"10032","SHRLA","SHRLA","SHRI LAKSHMI COTSYN LIMITED",NULL,"INE851B01016",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"SHLAKSHMI","",""
"10033","SIRPAP","SIRPAP","SIRPUR PAPER MILLS LTD",NULL,"INE202C01010",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"SIRPAPER","",""
"10053","RAMPOL","RAMPOL","RAMGOPAL POLYTEX LTD",NULL,"INE410D01017",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"RAMGOPOLY","",""
"10056","SKMEGG","SKMEGG","SKM EGG PRODUCTS EXPORTS (INDI",NULL,"INE411D01015",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"SKMEGGPROD","",""
"10061","AUTOLI","AUTOLI","AUTOLITE (INDIA) LIMITED",NULL,"INE448A01013",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"AUTOLITIND","",""
"10065","BININD","BININD","BIL VYAPAR LIMITED",NULL,"INE071A01013",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"BILVYAPAR","",""
"10074","EMAPAP","EMAPAP","EMAMI PAPER MILLS LIMITED",NULL,"INE830C01026",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"EMAMIPAP","",""
"1008","FACT","FACT","FERTILIZERS AND CHEMICALS TRAV",NULL,"INE188A01015",NULL,"NSE","2025-09-01 12:15:28.78001+05:30",NULL,"FACT","",""
