"id","symbol","stock_code","company_name","exchange","weight","sector","updated_at"
"1","ADANIENT",NULL,"Adani Enterprises Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"2","ADANIPORTS",NULL,"Adani Ports and Special Economic Zone Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"3","APOLLOHOSP",NULL,"Apollo Hospitals Enterprise Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"4","ASIANPAINT",NULL,"Asian Paints Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"5","AXISBANK",NULL,"Axis Bank Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"6","BAJAJ-AUTO",NULL,"Bajaj Auto Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"7","BAJFINANCE",NULL,"Bajaj Finance Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"8","BAJAJFINSV",NULL,"Bajaj Finserv Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"9","BEL",NULL,"Bharat Electronics Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"10","BHARTIARTL",NULL,"Bharti Airtel Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"11","CIPLA","CIPLA","Cipla Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"12","COALINDIA",NULL,"Coal India Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"13","DRREDDY",NULL,"Dr. Reddy's Laboratories Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"14","EICHERMOT",NULL,"Eicher Motors Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"15","ETERNAL",NULL,"Eternal Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"16","GRASIM","GRASIM","Grasim Industries Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"17","HCLTECH",NULL,"HCL Technologies Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"18","HDFCBANK",NULL,"HDFC Bank Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"19","HDFCLIFE",NULL,"HDFC Life Insurance Company Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"20","HEROMOTOCO",NULL,"Hero MotoCorp Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"21","HINDALCO",NULL,"Hindalco Industries Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"22","HINDUNILVR",NULL,"Hindustan Unilever Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"23","ICICIBANK",NULL,"ICICI Bank Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"24","ITC","ITC","ITC Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"25","INDUSINDBK",NULL,"IndusInd Bank Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"26","INFY",NULL,"Infosys Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"27","JSWSTEEL",NULL,"JSW Steel Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"28","JIOFIN","JIOFIN","Jio Financial Services Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"29","KOTAKBANK",NULL,"Kotak Mahindra Bank Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"30","LT",NULL,"Larsen & Toubro Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"31","M&M",NULL,"Mahindra & Mahindra Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"32","MARUTI","MARUTI","Maruti Suzuki India Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"33","NTPC","NTPC","NTPC Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"34","NESTLEIND",NULL,"Nestle India Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"35","ONGC","ONGC","Oil & Natural Gas Corporation Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"36","POWERGRID",NULL,"Power Grid Corporation of India Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"37","RELIANCE",NULL,"Reliance Industries Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"38","SBILIFE",NULL,"SBI Life Insurance Company Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"39","SHRIRAMFIN",NULL,"Shriram Finance Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"40","SBIN","STABAN","State Bank of India","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"41","SUNPHARMA",NULL,"Sun Pharmaceutical Industries Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
"42","TCS","TCS","Tata Consultancy Services Ltd.","NSE",NULL,NULL,"2025-09-01 11:40:59.8967+05:30"
